Date,Close/Last,Volume,Open,High,Low
06/04/2021,$139.85,6662783,$137.73,$140.85,$137.62
06/03/2021,$136.38,8191949,$137.4,$138.03,$135.09
06/02/2021,$139.01,6401194,$138.05,$140.36,$136.92
06/01/2021,$138.21,8839275,$139,$142.12,$137.26
05/28/2021,$138.13,7189587,$139.17,$139.46,$137.82
05/27/2021,$137.82,10623450,$135.936,$138.19,$135.84
05/26/2021,$136.9,10577910,$137.97,$138.97,$136.21
05/25/2021,$137.5,12721010,$136.45,$139.15,$135.94
05/24/2021,$134.58,11405610,$130.19,$135.63,$129.59
05/21/2021,$128.66,14252360,$129.85,$130.6899,$127.02
05/20/2021,$130.31,18239820,$126.811,$130.67,$125.24
05/19/2021,$124.8,10424170,$118.42,$125.08,$117.79
05/18/2021,$121.81,7536657,$125.34,$125.388,$121.69
05/17/2021,$123.57,9371447,$122,$123.62,$120.37
05/14/2021,$124.83,12422300,$121.89,$125.8,$120.26
05/13/2021,$119.92,14228040,$118.49,$121.47,$117.89
05/12/2021,$114.88,18648180,$119.33,$121.01,$114.39
05/11/2021,$123.55,15287780,$120,$124.34,$117.62
05/10/2021,$124.69,10471530,$131.915,$131.915,$124.51
05/07/2021,$132.95,7524772,$132.55,$134.095,$131.64
05/06/2021,$131.73,7270467,$129.64,$131.89,$127.76
05/05/2021,$130.29,7276634,$131.733,$132.52,$128.76
05/04/2021,$128.72,14199070,$129.99,$130.68,$125.32
05/03/2021,$132.85,7750181,$134.25,$135.61,$131.7
04/30/2021,$132.71,8691846,$132.002,$134.4,$131.4
04/29/2021,$135.39,6668375,$137.252,$137.6,$133.09
04/28/2021,$135.69,6172656,$136.64,$136.915,$134.57
04/27/2021,$136.78,5767364,$138.15,$138.25,$135.55
04/26/2021,$137.3,7927184,$134.83,$138.67,$134.2
04/23/2021,$134.86,8082300,$133.49,$135.17,$132.75
04/22/2021,$131.75,11483490,$134.769,$135.74,$130.45
04/21/2021,$135.05,12108820,$130.14,$135.16,$129
04/20/2021,$128.59,7583294,$129.383,$131.67,$128.31
04/19/2021,$130.89,12826370,$133.394,$135.28,$128.7
04/16/2021,$133.73,7686310,$133.5,$134.74,$133.01
04/15/2021,$134.41,8269392,$136,$136.14,$132.85
04/14/2021,$134.14,8134216,$134.67,$137.14,$133.24
04/13/2021,$135.1,8034306,$136.626,$136.99,$133.2
04/12/2021,$135,11147470,$137.82,$138.73,$134.515
04/09/2021,$138.91,9637207,$138.32,$140.18,$137.49
04/08/2021,$139.35,10238000,$140.61,$141.6828,$138.21
04/07/2021,$139.14,13702740,$140.25,$141.87,$136.82
04/06/2021,$139.54,18004750,$143.88,$145.3,$136.95
04/05/2021,$143.05,14377390,$145.5,$146,$141.74
04/01/2021,$141.52,15929210,$138.14,$142.36,$137.2009
03/31/2021,$133.6,18589550,$129.97,$135.5,$129
03/30/2021,$126.76,7970891,$124.89,$127.9,$123.858
03/29/2021,$125.71,10539570,$127.04,$127.83,$123.47
03/26/2021,$128.64,14036990,$119.67,$128.98,$119.1722
03/25/2021,$119.72,10381610,$118.76,$120.48,$116.22
03/24/2021,$121.1,20252470,$122.65,$125.8,$120.42
03/23/2021,$116.38,8263821,$119.9,$120.2,$115.56
03/22/2021,$119.33,11318720,$117.605,$121.48,$116.97
03/19/2021,$114.86,13044680,$114.51,$117.06,$112.14
03/18/2021,$114.28,9044761,$117.86,$118.78,$114.11
03/17/2021,$119.9,8342614,$116.19,$121.14,$114.9
03/16/2021,$118.5,10383010,$117.03,$121.2714,$116.92
03/15/2021,$114.88,7068801,$114.63,$115.43,$113.1
03/12/2021,$114.29,7426014,$114.55,$116.45,$113.33
03/11/2021,$117.19,7715517,$117.26,$117.85,$115.64
03/10/2021,$112.68,8820310,$115.8,$116.5,$112.58
03/09/2021,$114.22,12040810,$110.26,$114.95,$109.41
03/08/2021,$105.68,12091540,$112.8,$114.12,$105.5
03/05/2021,$113.45,9962705,$111.59,$114.34,$105.65
03/04/2021,$108.24,12433370,$115.338,$116.49,$107.13
03/03/2021,$115.44,7257143,$118.28,$119.85,$115.1
03/02/2021,$117.5,6505039,$121.84,$121.91,$117.235
03/01/2021,$122.25,7008040,$121.18,$122.48,$119.46
02/26/2021,$118.19,11626510,$116.53,$120.25,$113.44
02/25/2021,$113.93,11352790,$121.17,$121.22,$113.6
02/24/2021,$122.81,10098080,$115.05,$123.02,$114.42
02/23/2021,$116.14,9387863,$112.86,$117.8,$110.69
02/22/2021,$115.23,7850553,$117.97,$119.8699,$114.62
02/19/2021,$119.46,21054140,$121.61,$124.5,$118.9
02/18/2021,$113.43,8239621,$114,$115.63,$112.44
02/17/2021,$115.71,7237096,$116.46,$117.06,$112.09
02/16/2021,$118.35,9260050,$118.51,$121.132,$117.69
02/12/2021,$116.7,8157465,$113,$117.82,$111.69
02/11/2021,$113,12147080,$107.434,$114.3,$107.29
02/10/2021,$105.88,5001713,$106.94,$108.2,$105.03
02/09/2021,$105.38,5769176,$106.2067,$107.36,$104.7805
02/08/2021,$106.19,6621431,$101.85,$106.25,$101.76
02/05/2021,$100.71,6349259,$104.855,$105.2,$100.69
02/04/2021,$103.24,6356334,$100.21,$103.73,$100.21
02/03/2021,$99.87,5399162,$104.32,$104.41,$99.82
02/02/2021,$103.59,5108557,$102.99,$103.94,$101.77
02/01/2021,$101.21,9083609,$99.246,$102.15,$97.68
01/29/2021,$96.68,7943425,$100.23,$100.46,$96.07
01/28/2021,$101.15,7432989,$101.19,$103.35,$99.97
01/27/2021,$98.58,9782747,$102.1,$104.06,$98.08
01/26/2021,$105.53,6029762,$108.85,$108.895,$105.27
01/25/2021,$108.12,8437795,$107.51,$110.1,$107
01/22/2021,$106.33,6207648,$108.0532,$109.7536,$106.25
01/21/2021,$107.97,7273779,$109.11,$109.28,$106.27
01/20/2021,$107.84,9925975,$110.11,$110.875,$105.16
01/19/2021,$109.22,9362201,$105.1,$109.58,$104.39
01/15/2021,$103.14,8981236,$105.16,$105.42,$101.15
01/14/2021,$105.8,11662980,$102.83,$106.6,$102.7
01/13/2021,$98.05,5309991,$100.49,$100.49,$97.96
01/12/2021,$100.01,7186079,$98.53,$100.87,$98.2
01/11/2021,$97.96,8359081,$94.62,$98.3,$94.18
01/08/2021,$95.56,9059720,$96.29,$97.8,$94.8799
01/07/2021,$94.56,8784052,$92.1265,$95.0599,$91.99
01/06/2021,$90.83,9817978,$88.29,$91.9,$88.28
01/05/2021,$89.6,6987214,$86.4,$89.62,$86.4
01/04/2021,$86.87,8449949,$87.24,$89.3,$86.15
12/31/2020,$86.3,5716036,$86.99,$87.06,$85.17
12/30/2020,$86.98,6294301,$85.38,$87.57,$85.16
12/29/2020,$84.27,4518003,$85.02,$85.1197,$83.53
12/28/2020,$84.87,3018471,$86.367,$86.74,$84.56
12/24/2020,$85.33,1409156,$84.74,$85.39,$84.2
12/23/2020,$84.03,4586080,$86.3,$86.5,$83.96
12/22/2020,$85.64,3901444,$86.55,$86.61,$85.54
12/21/2020,$86.41,5226564,$84.385,$86.53,$83.8
12/18/2020,$86.09,14603140,$87.66,$88.15,$85.3366
12/17/2020,$87.5,5559640,$89.125,$89.24,$87.13
12/16/2020,$88.55,5808136,$88.31,$89.25,$87.29
12/15/2020,$88.47,6180768,$89.9,$90.605,$87.95
12/14/2020,$88.5,6425496,$88.499,$90.52,$88.32
12/11/2020,$88.3,5776367,$87.05,$88.59,$86.59
12/10/2020,$87.89,5731157,$87,$88.61,$86.46
12/09/2020,$87.82,7017779,$89.565,$90.1,$87.18
12/08/2020,$89.75,4702966,$89.23,$90.26,$89.04
12/07/2020,$89.14,5524095,$89.27,$89.46,$87.8225
12/04/2020,$88.84,6876859,$86.92,$88.92,$86.65
12/03/2020,$86.1,4824985,$85.74,$87.03,$85.685
12/02/2020,$85.29,5272794,$83.69,$85.59,$83.61
12/01/2020,$84.27,7044074,$83.05,$84.62,$82.88
11/30/2020,$82.48,7543095,$82,$82.59,$80.7075
11/27/2020,$82.66,3098229,$81.81,$83.53,$81.68
11/25/2020,$81.14,5518508,$82.895,$83.02,$81.07
11/24/2020,$82.95,9542024,$81,$83.14,$79.82
11/23/2020,$80.5,8809829,$76.9718,$80.58,$76.9718
11/20/2020,$76.725,7609745,$77.2,$78.57,$76.68
11/19/2020,$77.25,8990081,$75.26,$77.51,$74.51
11/18/2020,$75.71,10667680,$74.69,$76.67,$74.59
11/17/2020,$74.37,5460128,$73.76,$74.57,$73.06
11/16/2020,$74.48,8104390,$72.97,$74.53,$72.58
11/13/2020,$72.81,10182300,$72.27,$73.94,$71.505
11/12/2020,$69.8,8555129,$70.86,$71.15,$69.43
11/11/2020,$71.16,8071944,$70.2032,$71.7,$69.8849
11/10/2020,$69.39,8206498,$70.95,$71.49,$69.1
11/09/2020,$71.3,10154560,$73.2,$75.93,$71.26
11/06/2020,$70.53,8639662,$68.9,$70.86,$68.35
11/05/2020,$69.95,13118070,$66,$70.06,$65.91
11/04/2020,$64.86,9808323,$63.44,$65.19,$62.13
11/03/2020,$61.83,9967589,$60.99,$62.44,$60.99
11/02/2020,$60.33,7475407,$59.95,$60.475,$59.53
10/30/2020,$59.23,7338657,$58.74,$59.28,$58.26
10/29/2020,$59.5,6314380,$57.23,$60.23,$56.95
10/28/2020,$57.32,8976958,$57.78,$58.22,$56.87
10/27/2020,$58.83,4626324,$59.78,$59.99,$58.77
10/26/2020,$59.51,6715421,$60.325,$60.5,$58.65
10/23/2020,$60.95,6520098,$61.7,$62.17,$60.66
10/22/2020,$61.7,6014586,$61.73,$62.15,$60.86
10/21/2020,$62.11,6188889,$62.4,$62.86,$61.91
10/20/2020,$62.26,4479873,$62.67,$63.01,$62.02
10/19/2020,$62.05,5757543,$63.17,$63.62,$61.8141
10/16/2020,$63,6841070,$63.76,$63.93,$62.405
10/15/2020,$63.51,6397398,$62.4,$63.685,$62.02
10/14/2020,$63.98,5824029,$64.9,$65.18,$63.43
