,index,2,possible_values
0,DemGen,"1 = female, 2 = male, 3 = other, 4 = prefer not to say","['2.0', '1.0', '3.0', '4.0']"
1,quota_age,"1 = 18-24, 2 = 25-34, 3 = 35-44, 4 = 45-54, 5 = 55-64, 6 = 65+","['4.0', '1.0', '5.0', '3.0', '6.0', '2.0']"
2,Residency,None,"['AU', 'CN', 'DE', 'ES', 'IT', 'JP', 'KR', 'MX', 'SE', 'UK', 'US']"
3,GenSocTrust,1 = Can't be too careful to 7 = Most people can be trusted,"['3.0', '6.0', '1.0', '5.0', '2.0', '7.0', '4.0']"
4,Trustingroups_1,1 = Cannot be trusted at all to 5 = Can be trusted a lot,"['5.0', '4.0', '2.0', '3.0', '1.0']"
5,Trustingroups_2,1 = Cannot be trusted at all to 5 = Can be trusted a lot,"['2.0', '3.0', '5.0', '4.0', '1.0']"
6,Trustingroups_3,1 = Cannot be trusted at all to 5 = Can be trusted a lot,"['3.0', '5.0', '4.0', '2.0', '1.0']"
7,Trustingroups_4,1 = Cannot be trusted at all to 5 = Can be trusted a lot,"['2.0', '4.0', '3.0', '1.0', '5.0']"
8,Trustingroups_5,1 = Cannot be trusted at all to 5 = Can be trusted a lot,"['2.0', '3.0', '4.0', '1.0', '5.0']"
9,Trustingroups_6,1 = Cannot be trusted at all to 5 = Can be trusted a lot,"['2.0', '4.0', '3.0', '1.0', '5.0']"
10,Trustingroups_7,1 = Cannot be trusted at all to 5 = Can be trusted a lot,"['4.0', '5.0', '2.0', '3.0', '1.0']"
11,Trustingroups_8,1 = Cannot be trusted at all to 5 = Can be trusted a lot,"['2.0', '5.0', '4.0', '3.0', '1.0']"
12,Trustingroups_9,1 = Cannot be trusted at all to 5 = Can be trusted a lot,"['1.0', '2.0', '3.0', '4.0', '5.0']"
13,Trustingroups_10,1 = Cannot be trusted at all to 5 = Can be trusted a lot,"['1.0', '2.0', '4.0', '3.0', '5.0']"
14,Trustingroups_11,1 = Cannot be trusted at all to 5 = Can be trusted a lot,"['1.0', '3.0', '5.0', '4.0', '2.0']"
15,Trustingroups_12,1 = Cannot be trusted at all to 5 = Can be trusted a lot,"['2.0', '4.0', '5.0', '3.0', '1.0']"
16,Trustingroups_13,1 = Cannot be trusted at all to 5 = Can be trusted a lot,"['1.0', '4.0', '2.0', '3.0', '5.0']"
17,COVIDexp,"9 = unsure, 8 = no, 3 = I think I might have had it but am recovered, 2 = I think I might have it now but not tested, 1 = doctor suspected but tested negative, 4 = doctor suspected but no test yet, 5 = doctor confirmed and am still infected, 6 = doctor confirmed but now test negative, 7 = doctor confirmed but not been tested again","['8.0', '4.0', '2.0', '3.0', '1.0', '9.0', '5.0', '6.0', '7.0']"
18,COVIDeffect_1,1 = not at all affected to 7 = very much affected,"['4.0', '2.0', '1.0', '6.0', '5.0', '7.0', '3.0']"
19,COVIDeffect_2,1 = not at all affected to 7 = very much affected,"['5.0', '6.0', '1.0', '7.0', '4.0', '3.0', '2.0']"
20,COVIDeffect_3,1 = not at all affected to 7 = very much affected,"['4.0', '5.0', '1.0', '2.0', '3.0', '7.0', '6.0']"
